id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
240568,Somalia,SOM,3.4987527,46.5933382,"[3.4987527, 46.5933382]",Recommended figure,Disaster,total,23,2026-01-24,2026-01-18,2026-01-24,2026,40336,Somalia: Drought - Middle Shabelle - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Adan Yabaal, Middle Shabelle, Somalia","3.4987527, 46.5933382",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.784822Z,"Somalia: 23 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 23 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240569,Somalia,SOM,7.8022,48.39912,"[7.8022, 48.39912]",Recommended figure,Disaster,total,17,2026-01-24,2026-01-18,2026-01-24,2026,40338,Somalia: Drought - Nugaal - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Burtinle, Nugaal, Somalia","7.8022, 48.39912",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:39.830901Z,"Somalia: 17 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 17 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240570,Somalia,SOM,0.52732,42.03326,"[0.52732, 42.03326]",Recommended figure,Disaster,total,150,2026-01-24,2026-01-18,2026-01-24,2026,40330,Somalia: Drought - Middle Juba - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Dhobley, Lower Juba, Somalia; Jilib, Middle Juba, Somalia","0.40997, 41.00995; 0.64467, 43.05657",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.877911Z,"Somalia: 150 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 150 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240571,Somalia,SOM,2.476615,43.980655,"[2.476615, 43.980655]",Recommended figure,Disaster,total,300,2026-01-24,2026-01-18,2026-01-24,2026,40326,Somalia: Drought - Bay - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Afgooye, Lower Shabeelle, Somalia; Qansax Dheere, Bay, Somalia","2.1381, 45.1212; 2.81513, 42.84011",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.925412Z,"Somalia: 300 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 300 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240572,Somalia,SOM,3.65137,43.778009999999995,"[3.65137, 43.778009999999995]",Recommended figure,Disaster,total,18,2026-01-24,2026-01-18,2026-01-24,2026,40334,Somalia: Drought - Bakool - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Baidoa, Bay, Somalia; Xudur, Bakool, Somalia","3.11383, 43.6498; 4.18891, 43.90622",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:19:39.975637Z,"Somalia: 18 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 18 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240573,Somalia,SOM,4.18891,43.90622,"[4.18891, 43.90622]",Recommended figure,Disaster,total,226,2026-01-24,2026-01-18,2026-01-24,2026,40334,Somalia: Drought - Bakool - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Xudur, Bakool, Somalia","4.18891, 43.90622",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:19:40.029214Z,"Somalia: 226 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 226 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240574,Somalia,SOM,2.12264,45.27402,"[2.12264, 45.27402]",Recommended figure,Disaster,total,51,2026-01-24,2026-01-18,2026-01-24,2026,40325,Somalia: Drought - Lower Shabelle - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Afgooye, Lower Shabeelle, Somalia; Banadir, Banaadir, Somalia","2.1381, 45.1212; 2.10718, 45.42684",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:26:29.906113Z,"Somalia: 51 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 51 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240575,Somalia,SOM,2.4494100000000003,45.166655,"[2.4494100000000003, 45.166655]",Recommended figure,Disaster,total,21,2026-01-24,2026-01-18,2026-01-24,2026,40325,Somalia: Drought - Lower Shabelle - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Banadir, Banaadir, Somalia; Wanla Weyn, Lower Shabeelle, Somalia","2.10718, 45.42684; 2.79164, 44.90647",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:26:29.955136Z,"Somalia: 21 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 21 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240576,Somalia,SOM,2.4611549999999998,44.133475000000004,"[2.4611549999999998, 44.133475000000004]",Recommended figure,Disaster,total,54,2026-01-24,2026-01-18,2026-01-24,2026,40326,Somalia: Drought - Bay - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Banadir, Banaadir, Somalia; Qansax Dheere, Bay, Somalia","2.10718, 45.42684; 2.81513, 42.84011",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:26:30.007892Z,"Somalia: 54 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 54 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240577,Somalia,SOM,2.99337,45.56808,"[2.99337, 45.56808]",Recommended figure,Disaster,total,26,2026-01-24,2026-01-18,2026-01-24,2026,40336,Somalia: Drought - Middle Shabelle - 01/01/2026,,,2026-01-01,2026-01-31,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Jowhar, Middle Shabele, Somalia","2.99337, 45.56808",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:26:30.054710Z,"Somalia: 26 displacements, 18 January - 24 January. According to Protection and Return Monitoring Network (PRMN), a total of 26 people were displaced in Somalia , arriving in the week of 18 January 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
